CREATED_AT,BYN,PLN,EUR
2019-07-23,2.02335,3.81835,0.896765
2019-07-24,2.02675,3.81585,0.897501
2019-07-25,2.025997,3.82005,0.897203
2019-07-26,2.027504,3.83855,0.89706
2019-07-27,2.027504,3.83855,0.89706
2019-07-28,2.027498,3.837365,0.898498
2019-07-29,2.037989,3.848603,0.897455
2019-07-30,2.03397,3.85235,0.896255
2019-07-31,2.03355,3.872403,0.903235
2019-08-01,2.04655,3.88915,0.902655
2019-08-02,2.057704,3.880374,0.89851
2019-08-03,2.057704,3.880374,0.89851
2019-08-04,2.057697,3.87877,0.90028
2019-08-05,2.053994,3.84325,0.88941
2019-08-06,2.05095,3.85305,0.892499
2019-08-07,2.04495,3.85655,0.89255
2019-08-08,2.04575,3.86306,0.89391
2019-08-09,2.04395,3.86075,0.884055
2019-08-10,2.04395,3.86075,0.884055
2019-08-11,2.04395,3.85945,0.89222
2019-08-12,2.03945,3.85965,0.891605
2019-08-13,2.04265,3.87705,0.89472
2019-08-14,2.041797,3.92478,0.89743
2019-08-15,2.04895,3.935251,0.899233
2019-08-16,2.049604,3.91255,0.90135
2019-08-17,2.049604,3.91255,0.90135
2019-08-18,2.049603,3.91355,0.901597
2019-08-19,2.060102,3.94235,0.902299
2019-08-20,2.05725,3.92925,0.90111
2019-08-21,2.053698,3.920215,0.901685
2019-08-22,2.05815,3.93145,0.902235
2019-08-23,2.05555,3.92735,0.88964
2019-08-24,2.02175,3.92735,0.88964
2019-08-25,2.02175,3.93064,0.89745
2019-08-26,2.060501,3.92825,0.900799
2019-08-27,2.0667,3.94855,0.901745
2019-08-28,2.086097,3.96131,0.90208
2019-08-29,2.094396,3.96665,0.904198
2019-08-30,2.097041,3.98245,0.908225
2019-08-31,2.097041,3.98245,0.908225
2019-09-01,2.096969,3.97975,0.90981
2019-09-02,2.11055,3.97821,0.9119
2019-09-03,2.123901,3.96125,0.911401
2019-09-04,2.1165,3.93575,0.90622
2019-09-05,2.10975,3.93415,0.906296
2019-09-06,2.10645,3.93355,0.89827
2019-09-07,2.085904,3.93355,0.89827
2019-09-08,2.085901,3.93755,0.90742
2019-09-09,2.090598,3.922525,0.90514
2019-09-10,2.08895,3.92095,0.90498
2019-09-11,2.08195,3.941405,0.90801
2019-09-12,2.06655,3.922195,0.904502
2019-09-13,2.047804,3.90505,0.89634
2019-09-14,2.047804,3.90505,0.89634
2019-09-15,2.047802,3.903455,0.902285
2019-09-16,2.04635,3.93635,0.908797
2019-09-17,2.05495,3.912795,0.90299
2019-09-18,2.05535,3.93375,0.906702
2019-09-19,2.04885,3.92985,0.905301
2019-09-20,2.040304,3.96995,0.907855
2019-09-21,2.040304,3.96995,0.907855
2019-09-22,2.040299,3.968095,0.90755
2019-09-23,2.05755,3.99295,0.90964
2019-09-24,2.06265,3.97685,0.907896
2019-09-25,2.07525,4.00015,0.913035
2019-09-26,2.070903,4.015365,0.91555
2019-09-27,2.07265,4.00445,0.91399
2019-09-28,2.072304,4.00445,0.91399
2019-09-29,2.0723,4.00535,0.91388
2019-09-30,2.082204,4.01015,0.917495
2019-10-01,2.077299,4.00415,0.914535
2019-10-02,2.081202,3.97895,0.912296
2019-10-03,2.079205,3.948535,0.91117
2019-10-04,2.07135,3.934404,0.91075
2019-10-05,2.07225,3.934404,0.91075
2019-10-06,2.07225,3.93225,0.910402
2019-10-07,2.07075,3.94586,0.911435
2019-10-08,2.07185,3.94389,0.912435
2019-10-09,2.06915,3.93615,0.910297
2019-10-10,2.060799,3.914405,0.90821
2019-10-11,2.048204,3.89665,0.90621
2019-10-12,2.048204,3.89665,0.906208
2019-10-13,2.049026,3.901625,0.906742
2019-10-14,2.049845,3.896225,0.906897
2019-10-15,2.050991,3.88945,0.90626
2019-10-16,2.046576,3.86755,0.90298
2019-10-17,2.036686,3.851995,0.898898
2019-10-18,2.038066,3.835104,0.895656
2019-10-19,2.038066,3.835104,0.895656
2019-10-20,2.038066,3.83935,0.89643
2019-10-21,2.038016,3.835195,0.896765
2019-10-22,2.037277,3.83892,0.89856
2019-10-23,2.043748,3.83835,0.89831
2019-10-24,2.041167,3.85355,0.900609
2019-10-25,2.043951,3.86135,0.902486
2019-10-26,2.043951,3.86135,0.902486
2019-10-27,2.043951,3.85935,0.902215
2019-10-28,2.047299,3.85045,0.901007
2019-10-29,2.056938,3.839335,0.899899
2019-10-30,2.054533,3.81816,0.896697
2019-10-31,2.055637,3.82106,0.896321
2019-11-01,2.051928,3.80815,0.893455
2019-11-02,2.051928,3.80865,0.895456
2019-11-03,2.051928,3.80815,0.89556
2019-11-04,2.040922,3.83645,0.898625
2019-11-05,2.0414,3.85175,0.90303
2019-11-06,2.040362,3.852896,0.90334
2019-11-07,2.04196,3.8542,0.904789
2019-11-08,2.041466,3.870704,0.907528
2019-11-09,2.041466,3.870704,0.907528
2019-11-10,2.041466,3.87159,0.90727
